استان,فروش (میلیون ریال),سود (میلیون ریال),تعداد سفارش,ماه,Lat,Lon
تهران,12500,2800,340,فروردین,35.6892,51.389
اصفهان,8600,1800,250,فروردین,32.6546,51.668
خراسان رضوی,9200,2000,265,فروردین,36.297,59.6062
فارس,7500,1650,225,فروردین,29.5918,52.5837
آذربایجان شرقی,6400,1300,195,فروردین,38.08,46.2919
مازندران,5100,1200,180,فروردین,36.5659,53.0586
کرمان,4200,800,140,فروردین,30.2839,57.0834
یزد,3700,900,115,فروردین,31.8974,54.3569
هرمزگان,3200,750,100,فروردین,27.1832,56.2666
کردستان,2800,650,95,فروردین,35.309,46.9993
سیستان و بلوچستان,2100,400,80,فروردین,29.4963,60.8629
